astronaut,eva_count,total_duration_hours
John Grunsfeld,8,58.5
Jerry Ross,9,58.35
Mike Lopez-Alegria,8,55.73
Anatoly Solovyev,10,51.43
Sunita Williams,7,50.67
Mike Fossum,7,48.53
Steve Bowen,7,47.3
Nikola Budarin,9,44.53
Jim Newman,6,43.22
Mike Fincke,8,42.95
Andrew Feustel,6,42.3
Scott Parazynski,6,42.07
Dave Wolf,7,41.93
Piers Sellers,6,41.17
Peggy Whitson,6,39.77
Dan Tani,6,39.18
Fyodor Yurchikhin,6,38.73
Victor Afanasyev,7,38.57
Rick Mastracchio,6,38.52
Vladimir Dezhurov,9,37.62
Sergei Krikalev,7,37.25
Rex Walheim,5,36.38
Talgat Musabeyev,7,36.22
Danny Olivas,5,34.47
Pavel Vinogradov,6,33.8
Heide Stefanyshyn-Piper,5,33.7
Joe Tanner,5,32.47
Anatoli Artsebarsky,6,32.28
Leonid Kizim,8,31.48
Vladimir Solovyov,8,31.48
Chris Cassidy,6,31.25
Mike Massimino,4,30.73
Jim Reilly,5,30.72
Steve Smith,4,30.63
Sergei Avdeyev,6,27.1
Ron Garan,4,27.05
Gennady Padalka,7,26.68
Steve Swanson,4,26.37
Story Musgrave,4,26.32
Musa Manarov,5,25.93
Robert Curbeam,4,25.75
Mikhail Tyurin,5,25.53
Jeff Hoffman,4,25.2
Yuri Usachev,6,24.97
Yuri Onufrenko,5,24.65
Tom Marshburn,4,24.48
Bill McArthur,4,24.37
Eugene Cernan,5,24.33
Mike Gernhardt,4,23.27
Leroy Chiao,4,23.23
Doug Wheellock,3,22.82
Tracy Caldwell Dyson,3,22.82
Jim Voss,4,22.75
Mike Foale,4,22.73
Harrison Schmidt,4,22.22
Gennady Strekalov,6,22.03
James Van Hoften,4,21.6
Akihiko Hoshide,3,21.38
Kathy Thornton,3,21.17
Tom Akers,3,21.17
Rick Linnehan,3,21.15
Doug Wheelock,3,20.68
Charles Duke,4,20.3
John Young,4,20.3
Clayton Anderson,3,20.3
Anatoli Solovyov,4,20.15
Soichi Noguchi,3,20.08
Steve Robinson,3,20.08
Alexander Misurkin,3,20.02
David Scott,6,20.0
John Herrington,3,19.92
Jeff Wisoff,3,19.88
Bob Curbeam,3,19.82
Tom Jones,3,19.82
Dan Barry,3,19.67
F. Chang-Diaz,3,19.5
Philippe Perrin,3,19.5
Carlos Noriega,3,19.33
Carl Walz,3,18.95
Yuri Malenchenko,3,18.85
Mike Foreman,3,18.78
James Irwin,4,18.67
Sergei Volkov,3,18.6
Oleg Kononenko,3,18.47
Alexandr Serebrov,6,18.33
Christer Fuglesang,3,18.23
Clay Anderson,3,18.18
Dave Williams,3,17.78
Oleg Kotov,3,16.77
Oleg Skripochka,3,16.68
Mike Good,2,15.97
Gerald Carr,3,15.82
Stan Love,2,15.38
Ed Gibson,3,15.35
Chris Hadfield,2,14.83
Garrett Reisman,2,14.18
Lee Morin,2,14.12
Michael Good,2,13.92
Pat Forrester,2,13.75
Owen Garriott,3,13.72
Greg Chamitoff,2,13.72
Christer Fugelsang,2,13.67
Bill Pogue,2,13.57
Don Pettit,2,13.28
Ken Bowersox,2,13.28
Fyodor Yurchikin,2,13.15
Gennady Manakov,3,13.03
Joseph Acaba,2,12.95
Shane Kimbrough,2,12.87
Alvin Drew,2,12.8
Takao Doi,2,12.7
Winston Scott,2,12.7
Jeff Williams,2,12.63
Richard Arnold,2,12.57
Pete Conrad,5,12.55
Woody Spring,2,12.43
Robert Satcher,2,12.32
Bob Stewart,2,12.08
Bruce McCandless,2,12.08
Michael Lopez-Alegria,2,11.93
Randy Bresnick,2,11.83
Dale Gardner,2,11.83
Joe Allen,2,11.83
Dan Bursch,2,11.8
Patrick Forrester,2,11.75
Bill Fisher,2,11.63
Valeri Tokarev,2,11.1
Jack Lousma,2,11.03
Alexandr Viktorenko,4,11.0
Alexandr Balandin,2,10.87
Jay Apt,2,10.43
Dmitry Kondratiev,2,10.23
Allen Bean,4,10.22
George Nelson,2,9.97
Salizhan Sharipov,2,9.97
Alexandr Poleshchuk,2,9.95
Valery Korzun,2,9.77
Alan Shepard,3,9.45
Ed Mitchell,3,9.45
Alexander Kaleri,2,9.42
Valeri Tsibliyev,3,9.38
Pierre Thuot,2,9.22
Rick Hieb,2,9.22
Susan Helms,1,8.93
Alexandr Laveykin,3,8.78
Yuri Romanenko,3,8.78
Akers,1,8.48
Hieb,1,8.48
Thuot,1,8.48
Claude Nicollier,1,8.17
Buzz Aldrin,5,8.12
Tammy Jernigan,1,7.92
Luca Parmitano,2,7.65
Dan Burbank,1,7.18
Steve MacLean,1,7.18
Carl Meade,1,6.85
Mark Lee,1,6.85
Hans Schlegel,1,6.75
Mikhail Kornienko,1,6.7
Roman Romanenko,1,6.63
Nicole Stott,1,6.58
Alexander Samokutyaev,1,6.38
Andy Thomas,1,6.35
Paul Richards,1,6.35
G. Padelka,2,6.33
Jean-Pierre Heignere,1,6.32
Anton Shkaplerov,1,6.25
Edward Lu,1,6.23
Yuri Malenchecko,1,6.23
Yri Onufrienko,1,6.05
Robert Behnken,1,6.03
Yuri Onufrienko,1,5.98
Thomas Reiter,1,5.9
David Low,1,5.83
Maxim Suraev,1,5.73
Tim Kopra,1,5.53
Sergei Zaletin,1,5.5
Sergei Treschev,1,5.35
Vladimir Titov,1,5.17
Mike Barratt,2,5.1
Frank Culbertson,1,5.07
John Phillips,1,4.97
Jerry Linenger,1,4.95
Valeri Tsibliev,1,4.95
Yuri Lonchakov,1,4.8
Bernard Harris,1,4.65
Greg Harbaugh,1,4.47
Mario Runco,1,4.47
Don Peterson,1,4.28
Linda Godwin,1,4.2
Joe Kerwin,2,4.08
Svetlana Savitskaya,1,3.57
Vladimir Dzhanibekov,1,3.57
Dave Leestma,1,3.48
Kathy Sullivan,1,3.48
Dave Griggs,1,3.17
Richard Gordon,2,2.9
Neil Armstrong,2,2.62
Anatoli Berezovsky,1,2.55
Valentin Lebedev,1,2.55
Paul Weitz,2,2.27
Alexandr Ivanchenkov,1,2.08
Vladimir Kovalyonok,1,2.08
Alexandr Kaleri,1,2.05
Mike Collins,2,1.48
Tom Mattingly,1,1.38
Valeri Ryumin,1,1.38
Vladimir Lyakhov,1,1.38
Ron Evans,1,1.12
Russ Schweickart,1,0.85
Al Worden,1,0.65
Ed White,1,0.6
Bill Lenoir,0,0.0
