date,duration_hours,cumulative_duration_hours
1965-06-03,0.6,0.6
1966-06-05,2.12,2.72
1966-07-19,0.83,3.55
1966-07-20,0.65,4.2
1966-09-13,0.73,4.93
1966-09-14,2.17,7.1
1966-11-12,2.48,9.58
1966-11-13,2.1,11.68
1966-11-14,0.92,12.6
1969-03-06,1.63,14.23
1969-07-20,2.62,16.85
1969-11-19,3.65,20.5
1969-11-20,3.88,24.38
1971-02-05,4.8,29.18
1971-02-06,4.65,33.83
1971-07-30,0.55,34.38
1971-07-31,6.57,40.95
1971-08-01,7.2,48.15
1971-08-02,4.9,53.05
1971-08-05,0.65,53.7
1972-04-21,7.18,60.88
1972-04-22,7.38,68.27
1972-04-23,5.73,74.0
1972-04-25,1.38,75.38
1972-12-11,7.2,82.58
1972-12-12,7.62,90.2
1972-12-13,7.4,97.6
1972-12-17,1.12,98.72
1973-05-25,0.67,99.38
1973-06-07,3.42,102.8
1973-06-19,1.6,104.4
1973-08-06,6.52,110.92
1973-08-24,4.52,115.43
1973-09-22,2.68,118.12
1973-11-22,6.55,124.67
1973-12-25,7.02,131.68
1973-12-29,3.48,135.17
1974-02-03,5.32,140.48
1978-07-29,2.08,142.57
1979-08-15,1.38,143.95
1982-07-30,2.55,146.5
1982-11-14,0.0,146.5
1983-04-07,4.28,150.78
1984-02-07,5.93,156.72
1984-02-09,6.15,162.87
1984-04-08,2.88,165.75
1984-04-11,7.08,172.83
1984-04-23,4.25,177.08
1984-04-26,5.0,182.08
1984-04-29,2.75,184.83
1984-05-04,2.75,187.58
1984-05-18,3.05,190.63
1984-07-25,3.57,194.2
1984-08-08,5.0,199.2
1984-10-11,3.48,202.68
1984-11-12,6.03,208.72
1984-11-14,5.8,214.52
1985-04-16,3.17,217.68
1985-08-31,7.15,224.83
1985-09-01,4.48,229.32
1985-11-29,5.63,234.95
1985-12-01,6.8,241.75
1986-05-28,3.67,245.42
1986-05-31,5.02,250.43
1987-04-11,3.65,254.08
1987-06-12,1.88,255.97
1987-06-16,3.25,259.22
1988-06-30,5.17,264.38
1990-01-08,2.95,267.33
1990-01-11,2.97,270.3
1990-01-26,3.03,273.33
1990-04-24,0.0,273.33
1990-07-17,7.0,280.33
1990-07-26,3.87,284.2
1990-10-29,3.08,287.28
1991-01-07,5.32,292.6
1991-01-23,5.57,298.17
1991-01-26,6.32,304.48
1991-04-07,4.43,308.92
1991-04-08,6.0,314.92
1991-04-25,3.57,318.48
1991-06-25,4.97,323.45
1991-06-28,3.4,326.85
1991-07-15,5.93,332.78
1991-07-19,5.47,338.25
1991-07-23,5.7,343.95
1991-07-27,6.82,350.77
1992-05-10,3.72,354.48
1992-05-11,5.5,359.98
1992-05-13,8.48,368.47
1992-05-14,7.73,376.2
1992-07-08,2.05,378.25
1992-09-11,5.73,383.98
1992-09-15,3.55,387.53
1993-01-17,4.47,392.0
1993-04-19,5.42,397.42
1993-06-18,4.53,401.95
1993-06-25,5.83,407.78
1993-09-16,11.4,419.18
1993-09-20,3.22,422.4
1993-09-28,1.85,424.25
1993-12-04,7.9,432.15
1993-12-05,6.6,438.75
1993-12-06,6.78,445.53
1993-12-07,6.83,452.37
1993-12-08,7.35,459.72
1994-09-13,6.08,465.8
1994-09-16,6.85,472.65
1995-02-09,4.65,477.3
1995-05-12,6.13,483.43
1995-05-17,6.83,490.27
1995-05-22,5.25,495.52
1995-05-29,0.35,495.87
1995-06-16,0.38,496.25
1995-07-14,5.57,501.82
1995-07-19,3.1,504.92
1995-07-21,5.73,510.65
1995-09-16,6.77,517.42
1996-05-21,5.33,522.75
1996-05-24,5.72,528.47
1996-05-30,4.33,532.8
1996-06-06,3.57,536.37
1996-06-13,5.7,542.07
1997-04-29,4.95,547.02
1997-08-21,5.5,552.52
1997-09-06,6.0,558.52
1997-10-20,6.17,564.68
1997-11-03,6.08,570.77
1997-11-06,6.32,577.08
1997-11-24,7.72,584.8
1997-12-03,4.98,589.78
1998-01-09,3.1,592.88
1998-01-14,3.87,596.75
1998-03-03,0.0,596.75
1998-04-01,6.43,603.18
1998-04-06,4.38,607.57
1998-04-11,6.42,613.98
1998-04-17,6.55,620.53
1998-04-22,6.35,626.88
