Astronaut,Total_EVA_Hours
John Grunsfeld,58.5
Jerry Ross,58.35
Mike Lopez-Alegria,55.733333333333334
Anatoly Solovyev,51.43333333333334
Sunita Williams,50.666666666666664
Mike Fossum,48.53333333333333
Steve Bowen,47.3
Nikola Budarin,44.53333333333333
Jim Newman,43.21666666666667
Mike Fincke,42.95
Andrew Feustel,42.3
Scott Parazynski,42.06666666666667
Dave Wolf,41.93333333333333
Piers Sellers,41.166666666666664
Peggy Whitson,39.766666666666666
Dan Tani,39.18333333333334
Fyodor Yurchikhin,38.733333333333334
Victor Afanasyev,38.56666666666666
Rick Mastracchio,38.516666666666666
Vladimir Dezhurov,37.61666666666667
Sergei Krikalev,37.25
Rex Walheim,36.38333333333333
Talgat Musabeyev,36.21666666666667
Danny Olivas,34.46666666666667
Pavel Vinogradov,33.8
Heide Stefanyshyn-Piper,33.7
Joe Tanner,32.46666666666667
Anatoli Artsebarsky,32.28333333333333
Vladimir Solovyov,31.483333333333334
Leonid Kizim,31.483333333333334
Chris Cassidy,31.25
Mike Massimino,30.733333333333334
Jim Reilly,30.71666666666667
Steve Smith,30.633333333333333
Sergei Avdeyev,27.099999999999998
Ron Garan,27.05
Gennady Padalka,26.683333333333334
Steve Swanson,26.366666666666667
Story Musgrave,26.316666666666666
Musa Manarov,25.933333333333334
Robert Curbeam,25.75
Mikhail Tyurin,25.53333333333333
Jeff Hoffman,25.2
Yuri Usachev,24.966666666666665
Yuri Onufrenko,24.65
Tom Marshburn,24.483333333333334
Bill McArthur,24.366666666666667
Eugene Cernan,24.333333333333336
Mike Gernhardt,23.266666666666666
Leroy Chiao,23.233333333333334
Tracy Caldwell Dyson,22.816666666666666
Doug Wheellock,22.816666666666666
Jim Voss,22.75
Mike Foale,22.733333333333334
Harrison Schmidt,22.21666666666667
Gennady Strekalov,22.033333333333335
James Van Hoften,21.6
Akihiko Hoshide,21.383333333333333
Tom Akers,21.166666666666664
Kathy Thornton,21.166666666666664
Rick Linnehan,21.15
Doug Wheelock,20.683333333333334
John Young,20.3
Clayton Anderson,20.3
Charles Duke,20.3
Anatoli Solovyov,20.15
Soichi Noguchi,20.083333333333332
Steve Robinson,20.083333333333332
Alexander Misurkin,20.016666666666666
David Scott,20.0
John Herrington,19.916666666666668
Jeff Wisoff,19.883333333333333
Bob Curbeam,19.816666666666666
Tom Jones,19.816666666666666
Dan Barry,19.666666666666668
F. Chang-Diaz,19.5
Philippe Perrin,19.5
Carlos Noriega,19.333333333333336
Carl Walz,18.95
Yuri Malenchenko,18.85
Mike Foreman,18.783333333333335
James Irwin,18.666666666666668
Sergei Volkov,18.6
Oleg Kononenko,18.46666666666667
Alexandr Serebrov,18.333333333333332
Christer Fuglesang,18.233333333333334
Clay Anderson,18.183333333333334
Dave Williams,17.78333333333333
Oleg Kotov,16.766666666666666
Oleg Skripochka,16.683333333333334
Mike Good,15.966666666666667
Gerald Carr,15.816666666666666
Stan Love,15.383333333333333
Ed Gibson,15.35
Chris Hadfield,14.833333333333334
Garrett Reisman,14.183333333333334
Lee Morin,14.116666666666667
Michael Good,13.916666666666668
Pat Forrester,13.75
Owen Garriott,13.716666666666667
Greg Chamitoff,13.716666666666667
Christer Fugelsang,13.666666666666668
Bill Pogue,13.566666666666666
Ken Bowersox,13.283333333333333
Don Pettit,13.283333333333333
Fyodor Yurchikin,13.15
Gennady Manakov,13.033333333333335
Joseph Acaba,12.95
Shane Kimbrough,12.866666666666667
Alvin Drew,12.8
Winston Scott,12.7
Takao Doi,12.7
Jeff Williams,12.633333333333333
Richard Arnold,12.566666666666666
Pete Conrad,12.55
Woody Spring,12.433333333333334
Robert Satcher,12.316666666666666
Bruce McCandless,12.083333333333334
Bob Stewart,12.083333333333334
Michael Lopez-Alegria,11.933333333333334
Randy Bresnick,11.833333333333334
Dale Gardner,11.833333333333332
Joe Allen,11.833333333333332
Dan Bursch,11.8
Patrick Forrester,11.75
Bill Fisher,11.633333333333333
Valeri Tokarev,11.1
Jack Lousma,11.033333333333333
Alexandr Viktorenko,11.0
Alexandr Balandin,10.866666666666667
Jay Apt,10.433333333333334
Dmitry Kondratiev,10.233333333333334
Allen Bean,10.216666666666667
Salizhan Sharipov,9.966666666666667
George Nelson,9.966666666666667
Alexandr Poleshchuk,9.95
Valery Korzun,9.766666666666666
Ed Mitchell,9.45
Alan Shepard,9.45
Alexander Kaleri,9.416666666666666
Valeri Tsibliyev,9.383333333333333
Rick Hieb,9.216666666666667
Pierre Thuot,9.216666666666667
Susan Helms,8.933333333333334
Yuri Romanenko,8.783333333333333
Alexandr Laveykin,8.783333333333333
Thuot,8.483333333333333
Akers,8.483333333333333
Hieb,8.483333333333333
Claude Nicollier,8.166666666666666
Buzz Aldrin,8.116666666666667
Tammy Jernigan,7.916666666666667
Luca Parmitano,7.6499999999999995
Dan Burbank,7.183333333333334
Steve MacLean,7.183333333333334
Carl Meade,6.85
Mark Lee,6.85
Hans Schlegel,6.75
Mikhail Kornienko,6.7
Roman Romanenko,6.633333333333333
Nicole Stott,6.583333333333333
Alexander Samokutyaev,6.383333333333334
Paul Richards,6.35
Andy Thomas,6.35
G. Padelka,6.333333333333333
Jean-Pierre Heignere,6.316666666666666
Anton Shkaplerov,6.25
Yuri Malenchecko,6.233333333333333
Edward Lu,6.233333333333333
Yri Onufrienko,6.05
Robert Behnken,6.033333333333333
Yuri Onufrienko,5.983333333333333
Thomas Reiter,5.9
David Low,5.833333333333333
Maxim Suraev,5.733333333333333
Tim Kopra,5.533333333333333
Sergei Zaletin,5.5
Sergei Treschev,5.35
Vladimir Titov,5.166666666666667
Mike Barratt,5.1000000000000005
Frank Culbertson,5.066666666666666
John Phillips,4.966666666666667
Valeri Tsibliev,4.95
Jerry Linenger,4.95
Yuri Lonchakov,4.8
Bernard Harris,4.65
Greg Harbaugh,4.466666666666667
Mario Runco,4.466666666666667
Don Peterson,4.283333333333333
Linda Godwin,4.2
Joe Kerwin,4.083333333333333
Svetlana Savitskaya,3.5666666666666664
Vladimir Dzhanibekov,3.5666666666666664
Dave Leestma,3.4833333333333334
Kathy Sullivan,3.4833333333333334
Dave Griggs,3.1666666666666665
Richard Gordon,2.9
Neil Armstrong,2.6166666666666667
Anatoli Berezovsky,2.55
Valentin Lebedev,2.55
Paul Weitz,2.2666666666666666
Alexandr Ivanchenkov,2.0833333333333335
Vladimir Kovalyonok,2.0833333333333335
Alexandr Kaleri,2.05
Mike Collins,1.4833333333333334
Valeri Ryumin,1.3833333333333333
Vladimir Lyakhov,1.3833333333333333
Tom Mattingly,1.3833333333333333
Ron Evans,1.1166666666666667
Russ Schweickart,0.85
Al Worden,0.65
Ed White,0.6
Bill Lenoir,0.0
